95,2,0.5952,517,374,565,425
95,2,0.5741,171,470,326,624
95,2,0.2986,575,303,611,343
96,2,0.6020,135,485,307,648
96,2,0.4966,509,385,561,435
96,2,0.3910,571,313,608,346
96,2,0.3605,526,320,556,341
96,2,0.3099,574,304,609,340
96,2,0.2850,720,294,740,312
97,2,0.6956,507,388,561,440
97,2,0.5197,115,493,293,669
97,2,0.4361,569,316,608,349
97,2,0.3340,524,321,555,343
97,2,0.3332,569,305,611,349
97,2,0.2952,719,295,739,312
98,2,0.6978,502,394,558,449
98,2,0.4873,68,514,270,708
98,2,0.3745,568,310,608,351
98,2,0.3660,718,293,739,310
98,2,0.2603,522,318,551,345
99,2,0.7214,40,522,256,718
99,2,0.5718,498,397,555,452
99,2,0.4745,716,292,738,310
99,2,0.4723,566,318,605,352
99,2,0.3335,566,306,608,352
100,2,0.7203,491,404,553,467
100,2,0.4879,0,550,224,719
100,2,0.4603,518,322,548,349
100,2,0.4552,564,328,602,356
100,2,0.3653,563,309,611,355
101,2,0.6611,488,405,549,472
101,2,0.4814,560,331,596,357
101,2,0.4559,515,319,548,351
101,2,0.3708,561,314,612,356
101,2,0.3665,562,329,610,357
101,2,0.2940,0,561,207,717
101,2,0.2758,714,290,737,307
102,2,0.6787,479,419,545,482
102,2,0.5950,512,322,545,351
102,2,0.5743,560,333,594,360
102,2,0.3090,560,330,612,359
102,2,0.2721,1,591,164,718
103,2,0.6325,510,322,543,352
103,2,0.6042,557,334,594,362
103,2,0.5611,475,422,542,489
103,2,0.4854,0,610,141,718
103,2,0.2588,714,288,737,306
104,2,0.7469,463,432,537,506
104,2,0.5838,553,337,594,367
104,2,0.5742,507,322,541,356
104,2,0.3180,713,288,736,305
104,2,0.3137,553,334,611,370
104,2,0.2793,0,649,87,717
105,2,0.7558,457,437,535,512
105,2,0.6752,505,323,541,358
105,2,0.5213,553,340,592,368
105,2,0.3355,0,672,53,719
105,2,0.2619,553,334,611,370
106,2,0.7388,448,449,527,533
106,2,0.5936,551,343,590,373
106,2,0.2895,502,329,536,359
107,2,0.6913,442,454,525,542
107,2,0.5766,550,345,586,375
107,2,0.4721,499,328,533,362
108,2,0.6388,428,470,517,559
108,2,0.6130,543,347,583,381
108,2,0.4689,496,329,530,365
109,2,0.7126,419,479,512,572
109,2,0.5820,542,349,582,382
109,2,0.4439,494,333,529,367
110,2,0.8008,401,496,504,599
110,2,0.3929,538,350,584,389
110,2,0.3823,490,335,526,369
111,2,0.8297,391,505,499,617
111,2,0.5979,536,356,577,390
111,2,0.4026,489,337,525,371
111,2,0.3757,563,321,592,351
112,2,0.7966,369,528,489,649
112,2,0.6391,533,360,575,395
112,2,0.4702,481,341,521,376
112,2,0.4011,560,322,592,353
113,2,0.8105,355,539,483,675
113,2,0.7282,530,363,574,397
113,2,0.4659,479,349,517,377
113,2,0.4607,556,322,590,355
114,2,0.8542,328,570,469,716
114,2,0.7202,527,368,572,402
114,2,0.4863,476,342,515,382
114,2,0.4844,555,323,589,358
115,2,0.8607,311,582,460,719
115,2,0.7816,524,368,572,407
115,2,0.5913,554,326,589,361
115,2,0.4871,474,345,512,382
116,2,0.7642,283,625,439,718
116,2,0.6886,520,373,567,414
116,2,0.6384,465,348,508,387
116,2,0.4326,552,330,587,366
117,2,0.7341,285,646,430,718
117,2,0.6652,518,378,563,418
117,2,0.5651,462,349,506,391
117,2,0.4132,551,334,587,368
118,2,0.5914,548,335,585,369
118,2,0.5877,507,384,561,426
118,2,0.4971,458,350,501,394
119,2,0.6763,506,390,558,429
119,2,0.5856,547,336,581,372
119,2,0.4006,456,349,499,397
120,2,0.7514,502,394,555,440
120,2,0.5649,447,352,497,402
120,2,0.4438,545,338,580,376
121,2,0.6742,499,398,553,442
121,2,0.5009,543,339,579,378
121,2,0.4984,444,354,494,404
121,2,0.3048,498,398,569,447
122,2,0.6226,491,405,549,450
122,2,0.5427,536,344,578,384
122,2,0.3479,440,354,489,412
123,2,0.6228,535,348,574,385
123,2,0.6056,431,361,485,415
123,2,0.5877,489,409,547,459
124,2,0.6894,479,420,540,475
124,2,0.6648,532,350,572,391
124,2,0.5910,425,368,478,421
125,2,0.6777,532,350,570,393
125,2,0.6213,421,370,477,425
125,2,0.5305,474,423,561,481
125,2,0.5138,475,424,537,479
126,2,0.7012,528,354,570,398
126,2,0.6680,464,433,541,497
126,2,0.6570,411,374,470,432
127,2,0.6895,459,440,534,503
127,2,0.6320,523,356,569,402
127,2,0.5488,408,376,467,436
128,2,0.7119,398,384,461,445
